object_id,koi_period,koi_prad,koi_teq,koi_insol,koi_disposition,category,score,flags,disposition_compare,is_disposition_match,color_hint
K00752.01,9.48803557,2.26,793.0,93.59,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00752.02,54.4183827,2.83,443.0,9.11,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00753.01,19.89913995,14.6,638.0,39.3,CANDIDATE,candidate,0.5,,match,True,black
K00754.01,1.736952453,33.46,1395.0,891.96,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00755.01,2.525591777,2.75,1406.0,926.16,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00756.01,11.09432054,3.9,835.0,114.81,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00756.02,4.13443512,2.77,1160.0,427.65,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00756.03,2.56658897,1.59,1360.0,807.74,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K00114.01,7.36178958,39.21,1342.0,767.22,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00757.01,16.06864674,5.76,600.0,30.75,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00001.01,2.470613377,13.04,1339.0,761.46,CANDIDATE,hot_jupiter_candidate,0.65,,mismatch,False,red
K00002.01,2.204735417,16.1,2048.0,4148.92,CANDIDATE,hot_jupiter_candidate,0.65,,mismatch,False,red
K00010.01,3.522498429,14.59,1521.0,1264.67,CANDIDATE,hot_jupiter_candidate,0.65,,mismatch,False,red
K00112.02,3.709214104,1.16,1206.0,500.46,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K00742.01,11.52144606,150.51,753.0,75.88,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00743.01,19.40393776,7.18,523.0,17.69,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00744.01,19.22138894,49.29,698.0,55.97,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00745.01,16.46983774,7.94,595.0,29.61,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00746.01,9.27358173,2.47,649.0,41.85,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00747.01,6.02930329,2.85,678.0,50.04,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00748.01,2.696370652,1.58,1066.0,305.34,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00749.01,5.349553819,2.55,919.0,168.99,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00749.02,3.94105221,1.7,1018.0,253.15,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K00749.03,8.10904807,1.3,800.0,97.03,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K00113.01,386.6030528,41.5,297.0,1.84,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00750.01,21.67699193,2.95,530.0,18.64,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00751.01,4.99677968,2.78,917.0,166.95,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00769.01,4.280963604,2.3,1012.0,247.87,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00770.01,1.50635409,4.53,1452.0,1054.12,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00771.01,670.645531,14.14,196.0,0.35,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00772.01,61.2563628,39.87,505.0,15.43,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00773.01,38.3775486,2.82,529.0,18.53,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00757.02,41.19725502,3.86,439.0,8.76,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00757.03,6.252962249,2.65,823.0,108.3,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00758.01,16.01308419,3.1,593.0,29.31,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00759.01,32.62876672,3.36,506.0,15.55,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00759.02,91.7732862,2.12,359.0,3.92,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00760.01,4.959319244,12.21,1103.0,349.4,CANDIDATE,hot_jupiter_candidate,0.65,,mismatch,False,red
K00761.01,2.701287801,6.54,1222.0,527.81,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00762.01,4.49876511,2.1,1133.0,389.62,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00763.01,19.65120951,12.42,730.0,67.03,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00115.01,5.412203927,2.94,1093.0,337.68,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00764.01,41.43958662,5.5,516.0,16.72,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00765.01,8.35389523,2.52,790.0,91.9,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00766.01,4.125543472,4.43,1243.0,565.35,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00767.01,2.816504904,12.21,1219.0,521.13,CANDIDATE,hot_jupiter_candidate,0.65,,mismatch,False,red
K00768.01,33.93373447,7.34,430.0,8.11,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00786.01,3.689920099,1.89,1147.0,408.99,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K00787.01,4.431238488,3.25,1104.0,351.23,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00787.02,11.37936986,3.95,806.0,99.68,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00788.01,26.39432897,3.07,489.0,13.49,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00116.01,13.57078281,2.64,785.0,89.61,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00115.02,7.12594387,1.79,997.0,233.31,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K00774.01,7.442652004,15.03,967.0,206.78,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00775.01,16.38489988,2.0,433.0,8.35,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00775.02,7.8774163,2.16,553.0,22.18,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00775.03,36.4454001,1.99,332.0,2.88,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K00776.01,3.728732147,6.02,1023.0,258.34,CANDIDATE,candidate,0.5,,match,True,black
K00777.01,40.4195037,7.51,467.0,11.29,CANDIDATE,candidate,0.5,,match,True,black
K00778.01,2.243380573,1.99,822.0,107.6,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K00779.01,10.40599802,11.23,833.0,113.94,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00780.01,2.337437946,2.34,1070.0,311.16,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00780.02,7.2406612,19.45,734.0,68.63,CANDIDATE,anomalous_signal,0.7,FLAG_ANOMALOUS_DEPTH,mismatch,False,red
K00115.03,3.43591631,0.55,1272.0,617.61,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K00781.01,11.59822233,2.65,396.0,5.82,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00782.01,6.575315881,5.31,1015.0,251.38,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00783.01,7.275040844,4.86,833.0,113.64,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00784.01,19.27153892,1.93,393.0,5.66,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K00784.02,10.06524317,1.91,488.0,13.43,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K00785.01,12.3935651,2.66,677.0,49.68,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00116.02,43.84439721,2.87,531.0,18.77,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00798.01,3.341913228,21.55,1032.0,268.67,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00799.01,1.626630225,32.43,1547.0,1355.88,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00800.01,2.711504086,3.12,1420.0,960.79,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00800.02,7.21203748,3.32,1025.0,260.58,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00789.01,14.1798187,1.88,711.0,60.35,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00790.01,8.47237911,2.59,751.0,75.44,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00790.02,60.4189369,2.36,390.0,5.49,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00791.01,12.61190435,7.4,753.0,76.15,CANDIDATE,candidate,0.5,,match,True,black
K00792.01,1.433769925,46.58,1920.0,3209.29,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00793.01,10.31872301,28.59,876.0,139.26,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00794.01,2.539183147,2.06,1332.0,743.09,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00795.01,6.770300385,2.77,812.0,102.87,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K00796.01,0.444291966,27.51,1836.0,2706.26,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00797.01,10.181584,7.73,812.0,102.91,CANDIDATE,candidate,0.5,,match,True,black
K00812.02,20.06036336,1.96,361.0,4.0,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K00812.03,46.1842039,1.83,273.0,1.32,CANDIDATE,rocky_candidate,0.7,,mismatch,False,red
K00116.04,23.9800854,1.31,649.0,41.94,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K00812.04,7.82502168,1.2,494.0,14.05,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K00813.01,3.895936525,7.34,1005.0,241.62,CANDIDATE,candidate,0.5,,match,True,black
